"id","First_Answer","Second_Answer","Third_Answer"
"0","17","6","18"
"DogID","dog_breed","Image"
"0","bulldog","https://i.imgur.com/k6y8dPK.png"
"1","labrador","https://i.imgur.com/XhdKGtR.png"
"2","german","https://i.imgur.com/Ldv6DXL.png"
"3","poodle","https://i.imgur.com/YpORHjJ.png"
"4","golden","https://i.imgur.com/RJcBm5V.png"
"5","chihuahua","https://i.imgur.com/SNdBHpE.png"
"6","boxer","https://i.imgur.com/j8dSbB2.png"
"7","pug","https://i.imgur.com/Slmt8ok.png"
"8","husky","https://i.imgur.com/Gmo2yb8.png"
"9","greatdane","https://i.imgur.com/jc0gwpe.png"
"10","beagle","https://i.imgur.com/YHiInCu.png"
"11","bostonterrier","https://i.imgur.com/96vo6qU.png"
"12","frenchbulldog","https://i.imgur.com/VGYu9ao.png"
"13","bassethound","https://i.imgur.com/t5bvn2d.jpg"
"14","pom","https://i.imgur.com/J2mXCSl.png"
"15","chowchow","https://i.imgur.com/goatpfi.png"
"16","doberman","https://i.imgur.com/vsJq569.png"
"17","foxhound","https://i.imgur.com/TvViw8I.png"
"18","cockerspaniel","https://i.imgur.com/K96LRBU.png"
"19","yorkie","https://i.imgur.com/FgSLyEx.png"
"DogID","Dog_Breed","Shedding","Active","Size","Intelligence","Access to Space","Totelrance to Kids"
"0","Bulldog","3","2","3","2","2","5"
"1","Labrador Retriever","4","4","4","5","2","5"
"2","German Shepherd","4","4","4","5","2","4"
"3","Poodle","1","5","4","5","3","5"
"4","Golden Retriever","3","4","4","5","3","5"
"5","Chihuahua","2","3","1","1","2","3"
"6","Boxer","2","3","4","3","5","5"
"7","Pug","5","2","3","1","1","5"
"8","Husky","3","4","4","3","2","4"
"9","Great Dane","4","3","5","3","5","5"
"10","Beagle","3","3","3","3","2","5"
"11","Boston Terrier","1","5","2","3","2","5"
"12","French Bulldog","1","3","1","2","2","5"
"13","Basset Hound","3","2","4","3","2","5"
"14","Pomeranian","4","4","1","4","3","3"
"15","Chow Chow","5","2","3","3","3","4"
"16","Doberman","3","5","4","5","2","4"
"17","Foxhound","2","5","3","3","4","5"
"18","Cocker Spaniel","1","5","3","4","2","4"
"19","Yorkshire Terrier","2","3","1","4","2","3"
"ID","Question","Ans1","Ans2","Ans3","Ans4","Ans5","Img"
"0","How active are you?","Not very","A little","So-so","Active","Athlete","https://i.imgur.com/hX3SXti.png"
"1","What is your preferred shedding levels?","Minimum","A little","Some fur","Fur is okay","Fur tornado","https://i.imgur.com/nDcgsVF.png"
"2","Which size do you prefer?","Tiny","Small","Medium","Large","Humongous","https://i.imgur.com/7cXzt79.png"
"3","How intelligent do you want your dog to be?","Brain empty","A bit smart","Moderately","Smart enough","Very smart","https://i.imgur.com/H8LOHsd.png"
"4","How big of a space can you provide?","Apartment","Apartment with park","Park area","House with small yard","House with big yard","https://i.imgur.com/nv7Kz4m.png"
"5","How often will the dogs interact with children?","Not at all","A little bit","Sometimes","Often","All the time","https://i.imgur.com/WEofRYj.png"
"id","question1","question2","question3","question4","question5","question6"
"0","2","4","3","4","2","1"
"1","0","0","0","0","0","0"
